length,treatment,tank,family
14.9,s.control,R1,C
18,s.control,R1,H
15.9,s.control,R1,C
16,s.control,R1,O
17.4,s.control,R1,C
18.8,s.control,R1,M
16.1,s.control,R1,P
18.1,s.control,R1,G
17.6,s.control,R1,N
16,s.control,R1,K
15.8,s.control,R1,P
17.2,s.control,R1,O
13.8,s.control,R1,H
16.2,s.control,R1,A
16.2,s.control,R1,I
18.4,s.control,R1,K
15.1,s.control,R1,E
17.4,s.control,R1,C
9.3,s.control,R1,E
19.2,s.control,R1,H
14.9,s.control,R1,F
16.4,s.control,R1,C
15.1,s.control,R1,J
7.4,s.control,R1,G
16.4,s.control,R1,K
7.5,s.control,R1,E
17.1,s.control,R1,P
16.7,s.control,R1,H
15.5,s.control,R1,I
13.4,s.control,R1,I
15.1,s.control,R1,F
15.5,s.control,R1,E
8.5,s.control,R1,E
16.8,s.control,R1,K
17.1,s.control,R1,F
15.8,s.control,R1,O
12.5,s.control,R1,C
8.5,s.control,R1,G
16.6,s.control,R1,O
17,s.control,R1,K
13.5,s.control,R1,E
16.2,s.control,R1,P
17,s.control,R1,L
16.4,s.control,R1,K
14.4,s.control,R1,J
17.3,s.control,R1,J
15.6,s.control,R1,H
13.3,s.control,R1,F
16.9,s.control,R1,N
18.7,s.control,R1,M
18.3,s.control,R1,O
18.7,s.control,R1,N
17.6,s.control,R1,N
16,s.control,R1,M
17.1,s.control,R1,O
18.9,s.control,R1,G
16.5,s.control,R1,H
16.8,s.control,R1,A
15.6,s.control,R1,F
18.4,s.control,R1,K
12.8,s.control,R1,G
17.9,s.control,R1,I
17.1,s.control,R1,E
14.6,s.control,R1,A
9.7,s.control,R1,F
11.2,s.control,R1,P
15.8,s.control,R1,F
16.4,s.control,R1,C
16.5,s.control,R1,P
12.7,s.control,R1,F
16.3,s.control,R1,E
10,s.control,R1,K
16,s.control,R1,E
17.1,s.control,R1,I
15.5,s.control,R1,F
16,s.control,R1,F
16.4,s.control,R1,J
13,s.control,R1,E
16.7,s.control,R1,I
17.8,s.control,R1,K
14.8,s.control,R1,A
18.9,s.control,R1,H
18,s.control,R1,K
14.8,s.control,R1,P
13.1,s.control,R1,J
17,s.control,R1,G
8.9,s.control,R1,E
9.8,s.control,R1,E
18.4,s.control,R1,O
9.3,s.control,R1,E
15.7,s.control,R1,L
15.3,s.control,R1,A
15.3,s.control,R1,P
11.7,s.control,R1,C
18.6,s.control,R1,N
18,s.control,R1,N
17.2,s.control,R1,L
16.8,s.control,R1,I
19,s.control,R1,H
13,s.control,R1,F
16.8,s.control,R1,J
14.9,s.control,R1,E
18.8,s.control,R1,O
17.7,s.control,R1,K
13.9,s.control,R1,J
9.6,s.control,R1,A
18,s.control,R1,K
16.9,s.control,R1,F
17.4,s.control,R1,G
17.2,s.control,R1,F
15.5,s.control,R1,A
15.5,s.control,R1,F
8.3,s.control,R1,I
16,s.control,R1,G
16,s.control,R1,E
14.3,s.control,R1,H
18,s.control,R1,L
15.8,s.control,R1,F
15,s.control,R1,E
16.8,s.control,R1,M
16.5,s.control,R1,K
15.6,s.control,R1,N
14.5,s.control,R1,J
14,s.control,R1,C
17.3,s.control,R1,O
17,s.control,R1,K
18.4,s.control,R1,M
16.6,s.control,R1,A
9,s.control,R1,N
17.5,s.control,R1,O
19,s.control,R1,K
15.5,s.control,R1,P
16.5,s.control,R1,O
18,s.control,R1,L
14.5,s.control,R1,J
17.5,s.control,R1,N
18.4,s.control,R1,K
16.9,s.control,R1,N
18.2,s.control,R1,I
16.4,s.control,R1,J
9.2,s.control,R1,I
14.9,s.control,R1,C
16.8,s.control,R1,I
16.4,s.control,R1,H
17.9,s.control,R1,L
14.2,s.control,R1,O
