tank,treatment,family,length,weight,condition_factor
A,flow,O,17.4,53.9,1.02315
A,flow,L,19.5,75.8,1.02227
A,flow,O,15.1,37,1.07466
A,flow,G,16.3,44.6,1.02985
A,flow,D,16,43.8,1.06934
A,flow,P,16.4,46.7,1.05873
A,flow,A,14.9,32.7,0.98853
A,flow,N,17.1,54,1.07995
A,flow,I,15.3,44.1,1.2313
A,flow,D,13.1,23.2,1.03199
A,flow,K,16.6,52.8,1.15428
A,flow,H,16.4,46.7,1.05873
A,flow,M,17.6,57.6,1.05654
A,flow,K,18,64.5,1.10597
A,flow,C,16.4,45.4,1.02926
A,flow,J,15.3,38,1.06099
A,flow,P,16,42.9,1.04736
A,flow,P,15.2,34.4,0.97955
A,flow,H,17,53.1,1.08081
A,flow,C,15.7,42.1,1.08789
A,flow,E,14.2,28.5,0.99536
A,flow,G,15.6,38.1,1.00358
A,flow,J,16,44.3,1.08154
A,flow,C,16.8,35.7,0.75291
A,flow,M,16.7,48.3,1.03705
A,flow,N,16.6,48.4,1.05809
A,flow,K,16.2,48,1.12901
A,flow,E,15.7,40.7,1.05171
A,flow,E,15.4,40.1,1.09795
A,flow,I,15.1,37.9,1.1008
A,flow,H,15.8,42.9,1.08764
A,flow,O,15.8,40,1.01412
A,flow,L,17.4,54.1,1.02695
A,flow,D,16.1,22,0.52716
A,flow,N,16.4,44.7,1.01339
A,flow,N,15.8,38.7,0.98116
A,flow,N,16.9,51.1,1.05867
A,flow,A,15.6,33.3,0.87714
A,flow,F,16,47.1,1.1499
A,flow,L,16,40.3,0.98389
A,flow,I,16.6,51.3,1.12148
A,flow,K,15.9,41.5,1.03242
A,flow,A,15.6,44.1,1.16162
A,flow,C,8.9,6.8,0.96458
A,flow,A,12.5,19.2,0.98304
A,flow,P,14.4,32.2,1.07837
A,flow,M,15.9,40.7,1.01252
A,flow,P,15.4,39.1,1.07057
A,flow,A,16,45.1,1.10107
A,flow,N,17.4,53.1,1.00797
A,flow,K,17.5,61,1.13819
A,flow,E,13.5,25.1,1.02017
A,flow,D,16.3,43.6,1.00675
A,flow,H,15.1,38.3,1.11242
A,flow,A,17.2,52.1,1.02389
A,flow,H,17.8,61.4,1.0887
A,flow,H,17.7,63.3,1.14152
A,flow,A,16.5,46.2,1.02847
A,flow,P,14,29,1.05685
A,flow,P,14,30,1.09329
A,flow,J,16,46.1,1.12549
A,flow,L,16,44,1.07422
A,flow,P,14.6,33.2,1.06679
A,flow,H,16.3,49.2,1.13606
A,flow,D,17.3,49.6,0.95795
A,flow,N,17,52.3,1.06452
A,flow,D,14.5,30.1,0.98733
A,flow,M,14.2,33.7,1.17697
A,flow,F,14.4,31.9,1.06832
A,flow,O,16,41.5,1.01318
A,flow,E,15.9,40.9,1.01749
A,flow,D,15.7,41.1,1.06204
A,flow,O,14.8,34.9,1.07657
A,flow,A,13.2,23.1,1.00436
A,flow,F,14.3,28,0.95752
A,flow,C,14.3,31.6,1.08063
A,flow,A,13.8,27.8,1.05781
A,flow,A,12.3,18.5,0.99416
A,flow,P,17,53.2,1.08284
A,flow,G,15.4,39.5,1.08152
A,flow,F,16,44.6,1.08887
A,flow,F,13.8,29.4,1.11869
A,flow,P,17.5,54.5,1.01691
A,flow,L,16,42.3,1.03271
A,flow,J,14.9,45.9,1.38757
A,flow,O,16.3,44.6,1.02985
A,flow,O,17.2,51.8,1.01799
A,flow,I,15.2,38.6,1.09915
A,flow,J,14.4,31.7,1.06163
A,flow,J,15,37.2,1.10222
A,flow,I,15.6,38.6,1.01675
A,flow,A,11.5,16.5,1.0849
A,flow,J,14.3,32.3,1.10457
A,flow,P,16.1,45.6,1.09267
A,flow,P,16,44.2,1.0791
A,flow,P,15.9,41.7,1.0374
A,flow,P,15.9,40.8,1.01501
A,flow,K,15.3,38.1,1.06378
A,flow,H,13.9,27.1,1.00908
A,flow,J,14.6,42.1,1.35277
A,flow,H,15.9,42.8,1.06476
A,flow,M,15,37,1.0963
A,flow,H,16.2,48.6,1.14312
A,flow,F,15,39,1.15556
A,flow,C,16,46,1.12305
A,flow,O,15.4,38,1.04045
A,flow,M,17.5,57.5,1.07289
A,flow,N,15.2,33.2,0.94538
A,flow,D,15,34.2,1.01333
A,flow,H,19,76.3,1.11241
A,flow,H,17.6,59.3,1.08772
A,flow,N,18.9,69,1.02203
A,flow,L,16.5,43.9,0.97727
A,flow,K,18,68.1,1.1677
A,flow,L,15.8,37.8,0.95834
A,flow,F,13.9,28.2,1.05004
A,flow,K,16,45.6,1.11328
A,flow,O,16.1,43.6,1.04474
A,flow,D,16.3,43.6,1.00675
A,flow,H,16.3,46.8,1.08064
A,flow,P,15.5,38,1.02044
A,flow,H,14.6,34.9,1.12142
A,flow,E,17.5,55.2,1.02997
A,flow,M,16.5,44.5,0.99062
A,flow,E,15,34.8,1.03111
A,flow,H,17.1,54.8,1.09595
A,flow,I,16.1,42.3,1.01359
A,flow,D,12.9,20.5,0.95496
A,flow,K,14.9,36.2,1.09433
A,flow,K,16.3,45.9,1.05986
A,flow,A,14.6,31.6,1.01538
A,flow,E,15.5,39.2,1.05267
A,flow,K,17.5,56.3,1.0505
A,flow,C,15.5,42.8,1.14934
A,flow,P,14.4,29.7,0.99465
A,flow,L,16,40.3,0.98389
A,flow,E,15.1,36.1,1.04852
A,flow,L,17.9,59.5,1.03743
A,flow,D,10.2,10.2,0.96117
A,flow,P,16.1,43.9,1.05193
A,flow,D,16,42.6,1.04004
A,flow,E,15.8,40.6,1.02933
A,flow,A,16.3,43,0.9929
A,flow,D,16.6,45.6,0.99687
A,flow,D,16.2,44.5,1.04668
A,flow,J,14.6,33.1,1.06358
A,flow,D,16.5,46,1.02401
A,flow,F,14,31.2,1.13703
A,flow,K,17.5,60.9,1.13633
A,flow,L,17.2,49.9,0.98065
A,flow,L,16.3,43,0.9929
A,flow,H,15.7,42.7,1.10339
A,flow,D,16.1,36.1,0.86503
A,flow,L,16.5,44.3,0.98617
A,flow,F,15.5,40.3,1.08221
A,flow,D,17,49.7,1.0116
A,flow,E,15.2,34.5,0.9824
A,flow,N,15.6,37.8,0.99568
A,flow,F,12.3,20.3,1.09089
A,flow,H,16.4,49.1,1.11314
A,flow,G,15,36.6,1.08444
A,flow,P,16.5,47.5,1.05741
A,flow,N,18.1,61.1,1.0304
A,flow,F,14.9,35.9,1.08526
A,flow,I,13,22.8,1.03778
A,flow,L,16.1,43.9,1.05193
A,flow,L,18.8,69.7,1.04896
A,flow,P,15,35.2,1.04296
A,flow,M,16.4,45.8,1.03833
A,flow,F,15.5,42.3,1.13591
A,flow,J,10.9,14.5,1.11967
A,flow,M,13.8,29.3,1.11489
A,flow,N,15.4,38.7,1.05962
A,flow,E,15.3,38.8,1.08332
A,flow,O,15,39.8,1.17926
A,flow,O,16.5,45.1,1.00398
A,flow,P,16,40.8,0.99609
A,flow,A,15.1,35.8,1.03981
A,flow,D,15.5,36.5,0.98016
A,flow,N,15.8,40.5,1.0268
A,flow,D,11.4,14.9,1.00571
A,flow,E,13.5,25,1.01611
A,flow,L,17,49,0.99735
A,flow,K,17.4,57.4,1.08959
A,flow,D,15.8,36.8,0.93299
A,flow,D,14.3,30.5,1.04302
A,flow,J,15,37.1,1.09926
A,flow,A,16.1,42.4,1.01599
A,flow,P,16,40.8,0.99609
A,flow,O,16.9,50.2,1.04002
A,flow,O,15.5,36.8,0.98822
A,flow,K,17.5,58.2,1.08595
A,flow,F,15.8,42.1,1.06736
A,flow,H,15.6,41.3,1.08787
A,flow,E,14.5,30.1,0.98733
A,flow,I,17,51.9,1.05638
A,flow,L,18,58.7,1.00652
A,flow,O,15.9,42.8,1.06476
A,flow,O,16.3,47,1.08526
A,flow,K,16,48.1,1.17432
A,flow,P,17.6,56.6,1.03819
A,flow,K,16.6,50.6,1.10618
A,flow,M,16.5,44.8,0.9973
A,flow,H,18.4,62.6,1.0049
A,flow,F,14.8,35,1.07965
A,flow,H,17.4,56.2,1.06681
A,flow,I,15.3,38,1.06099
A,flow,O,17.1,48.9,0.97796
A,flow,N,17.1,52.3,1.04596
A,flow,I,14.8,34.8,1.07348
A,flow,A,16.7,47.4,1.01772
A,flow,F,15.2,37.7,1.07352
A,flow,P,13.2,23.1,1.00436
A,flow,F,17.1,56.8,1.13595
A,flow,G,16.5,42.2,0.93942
A,flow,O,16.2,41.9,0.98553
A,flow,N,15.6,37.6,0.99041
A,flow,L,18,60.5,1.03738
A,flow,H,18,60.2,1.03224
A,flow,D,14.8,31.2,0.96243
A,flow,L,16.2,43.6,1.02551
A,flow,H,17.7,68.5,1.2353
A,flow,P,16.1,43.5,1.04235
A,flow,E,16.4,46.9,1.06326
A,flow,H,18,58.2,0.99794
A,flow,I,14.2,28.8,1.00584
A,flow,K,15.5,38.5,1.03387
A,flow,F,15.5,41.3,1.10906
A,flow,I,16.4,48,1.0882
A,flow,I,17.6,59.4,1.08955
A,flow,O,16.7,49.1,1.05422
A,flow,C,17.4,56.9,1.0801
A,flow,K,17.5,58.9,1.09901
A,flow,P,14.9,33.4,1.00969
A,flow,O,16.4,45.3,1.02699
A,flow,C,13.9,28.6,1.06493
A,flow,C,16,45.1,1.10107
A,flow,I,16.2,45,1.05844
A,flow,K,16,44.8,1.09375
A,flow,P,15.2,36.7,1.04505
A,flow,C,16,47.6,1.16211
A,flow,I,16.4,47,1.06553
A,flow,J,15.5,49.3,1.32389
A,flow,G,17.4,52.8,1.00227
A,flow,D,16,41.6,1.01563
A,flow,F,15,37.8,1.12
A,flow,H,18.4,65.1,1.04503
A,flow,C,15.3,38,1.06099
A,flow,N,15,35,1.03704
A,flow,A,16.4,45.4,1.02926
A,flow,C,14.9,33.9,1.0248
A,flow,N,17,49.8,1.01364
A,flow,I,15.8,41.2,1.04454
A,flow,N,15.2,35,0.99664
A,flow,K,17,53.8,1.09505
A,flow,K,17,53.2,1.08284
A,flow,N,16.4,45.5,1.03153
A,flow,C,14.5,32.9,1.07918
A,flow,G,17.4,55.8,1.05922
A,flow,O,17.2,51.1,1.00424
A,flow,L,15,33.7,0.99852
A,flow,A,16.4,44.9,1.01792
